week,team,recommendation_type,trigger_player_name,trigger_reason,recommendation,player_name,player_type,eligible_positions,current_level,projected_role_if_promoted,projected_slot_if_promoted,candidate_projection_value,drop_candidate_name,drop_candidate_role,drop_candidate_value,improvement,rationale
2026-week-17,Chris,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-17,Rob,minor-promotion,,,Move to MLB roster as starter,Elmer Rodriguez,pitcher,SP/P/PITCHER,AAA,Starter,P9,16.7,Nick Castellanos,Bench,118.3,-101.6,Would crack the active lineup at P9 under the current optimizer.
2026-week-17,Wendell,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-17,Matt,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-17,Michael,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-17,Paul,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-17,Josh M,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-17,Shane,minor-promotion,,,Move to MLB roster as starter,Arjun Nimmala,hitter,SS/INFIELDER,MLB,Starter,CI,18.0,Kevin Ginkel,Bench,116.7,-98.7,Would crack the active lineup at CI under the current optimizer.
2026-week-17,Shane,minor-promotion,,,Move to MLB roster as starter,Hao-Yu Lee,hitter,3B/2B/INFIELDER,MLB,Starter,CI,12.3,Kevin Ginkel,Bench,116.7,-104.4,Would crack the active lineup at CI under the current optimizer.
2026-week-17,Greg,minor-promotion,,,Move to MLB roster as bench player,Parker Messick,pitcher,SP/P/PITCHER,MLB,Bench,,123.9,Brooks Baldwin,Bench,116.2,7.7,Improves the 30-man MLB bucket even though the player would open on the fantasy bench.
2026-week-17,Josh V,minor-promotion,,,Move to MLB roster as starter,Max Clark,hitter,OF/OUTFIELDER,AA,Starter,OF,13.6,Adrian Houser,Bench,119.3,-105.7,Would crack the active lineup at OF under the current optimizer.
