week,team,recommendation_type,trigger_player_name,trigger_reason,recommendation,player_name,player_type,eligible_positions,current_level,projected_role_if_promoted,projected_slot_if_promoted,candidate_projection_value,drop_candidate_name,drop_candidate_role,drop_candidate_value,improvement,rationale
2026-week-18,Chris,injury-il-add,Bobby Witt Jr.,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Chris,injury-il-add,Cody Bellinger,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Chris,injury-il-add,Josh Jung,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Chris,injury-il-add,Jonathan India,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Chris,injury-il-add,Jordan Lawlar,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Chris,injury-il-add,J.P. Crawford,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Chris,injury-il-add,Jake Fraley,60-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Rob,injury-il-add,Carlos Santana,60-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Rob,injury-il-add,Cade Horton,15-day Injured List,Open an IL slot before lock,Andre Pallante,pitcher,SP,MLB,Starter,P9,116.0,,,,116.0,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Rob,injury-il-add,Lenyn Sosa,60-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Wendell,injury-il-add,Marcus Semien,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Wendell,injury-il-add,Giancarlo Stanton,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Wendell,injury-il-add,Carlos Rodon,15-day Injured List,Open an IL slot before lock,Andre Pallante,pitcher,SP,MLB,Bench,,116.0,,,,116.0,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Wendell,injury-il-add,Jameson Taillon,15-day Injured List,Open an IL slot before lock,Andre Pallante,pitcher,SP,MLB,Bench,,116.0,,,,116.0,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Matt,injury-il-add,Carlos Correa,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Matt,injury-il-add,Adley Rutschman,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Matt,injury-il-add,Carlos Estevez,60-day Injured List,Open an IL slot before lock,Andre Pallante,pitcher,SP,MLB,Bench,,116.0,,,,116.0,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Matt,injury-il-add,Emilio Pagan,15-day Injured List,Open an IL slot before lock,Andre Pallante,pitcher,SP,MLB,Bench,,116.0,,,,116.0,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
2026-week-18,Matt,injury-il-add,Parker Meadows,10-day Injured List,Open an IL slot before lock,Pedro Pages,hitter,C,MLB,Bench,,115.4,,,,115.4,All five IL slots are already occupied. Clear or reactivate one IL spot before moving this player.
