week,team,recommendation_type,trigger_player_name,trigger_reason,recommendation,player_name,player_type,eligible_positions,current_level,projected_role_if_promoted,projected_slot_if_promoted,candidate_projection_value,drop_candidate_name,drop_candidate_role,drop_candidate_value,improvement,rationale
2026-week-16,Chris,auto-applied-il-add,Mike Yastrzemski,10-day Injured List,Auto-applied IL move and replacement add,Will Benson,hitter,OF/LF/OUTFIELDER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Chris,auto-applied-il-add,Zac Gallen,15-day Injured List,Auto-applied IL move and replacement add,Roki Sasaki,pitcher,SP/P/PITCHER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Chris,no-change,,,No change recommended,,,,,,,,,,,,No additional moves recommended after auto-applying IL updates.
2026-week-16,Rob,auto-applied-il-add,Matt Chapman,10-day Injured List,Auto-applied IL move and replacement add,Nick Castellanos,hitter,OF,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Rob,minor-promotion,,,Move to MLB roster as starter,Elmer Rodriguez,pitcher,SP/P/PITCHER,AAA,Starter,P9,16.7,Nick Castellanos,Bench,118.3,-101.6,Would crack the active lineup at P9 under the current optimizer.
2026-week-16,Wendell,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-16,Matt,auto-applied-il-add,David Hamilton,10-day Injured List,Auto-applied IL move and replacement add,Pedro Pages,hitter,C,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Matt,no-change,,,No change recommended,,,,,,,,,,,,No additional moves recommended after auto-applying IL updates.
2026-week-16,Michael,auto-applied-il-add,Mark Vientos,10-day Injured List,Auto-applied IL move and replacement add,Nick Gonzales,hitter,2B/SS/INFIELDER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Michael,no-change,,,No change recommended,,,,,,,,,,,,No additional moves recommended after auto-applying IL updates.
2026-week-16,Paul,auto-applied-il-add,Nick Lodolo,15-day Injured List,Auto-applied IL move and replacement add,Aaron Civale,pitcher,SP/P/PITCHER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Paul,no-change,,,No change recommended,,,,,,,,,,,,No additional moves recommended after auto-applying IL updates.
2026-week-16,Josh M,auto-applied-il-add,Julio Rodriguez,7-day Injured List,Auto-applied IL move and replacement add,Victor Caratini,hitter,C,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Josh M,no-change,,,No change recommended,,,,,,,,,,,,No additional moves recommended after auto-applying IL updates.
2026-week-16,Shane,auto-applied-il-add,Matt McLain,10-day Injured List,Auto-applied IL move and replacement add,Kyle Higashioka,hitter,C/CATCHER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Shane,auto-applied-il-add,Owen Caissie,10-day Injured List,Auto-applied IL move and replacement add,Luis Campusano,hitter,DH/C/CATCHER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Shane,auto-applied-il-add,Will Vest,15-day Injured List,Auto-applied IL move and replacement add,Michael Lorenzen,pitcher,SP/P/PITCHER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Shane,minor-promotion,,,Move to MLB roster as starter,Arjun Nimmala,hitter,SS/INFIELDER,MLB,Starter,CI,18.0,Kevin Ginkel,Bench,116.7,-98.7,Would crack the active lineup at CI under the current optimizer.
2026-week-16,Shane,minor-promotion,,,Move to MLB roster as starter,Hao-Yu Lee,hitter,3B/2B/INFIELDER,MLB,Starter,CI,12.3,Kevin Ginkel,Bench,116.7,-104.4,Would crack the active lineup at CI under the current optimizer.
2026-week-16,Greg,auto-applied-il-add,Chris Martin,15-day Injured List,Auto-applied IL move and replacement add,Landen Roupp,pitcher,SP/P/PITCHER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Greg,minor-promotion,,,Move to MLB roster as bench player,Parker Messick,pitcher,SP/P/PITCHER,MLB,Bench,,123.9,Brooks Baldwin,Bench,116.2,7.7,Improves the 30-man MLB bucket even though the player would open on the fantasy bench.
2026-week-16,Josh V,auto-applied-il-add,Mike Burrows,15-day Injured List,Auto-applied IL move and replacement add,Adrian Houser,pitcher,SP/P/PITCHER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-16,Josh V,minor-promotion,,,Move to MLB roster as starter,Max Clark,hitter,OF/OUTFIELDER,AA,Starter,OF,13.6,Adrian Houser,Bench,119.3,-105.7,Would crack the active lineup at OF under the current optimizer.
2026-week-16,Matt,fa-acquisition,Pedro Pages,Weakest active player (value 115.4),Drop and add free agent,Camilo Doval,pitcher,RP,,,,119.1,Pedro Pages,,115.4,3.7,"FA acquisition (pass 1, threshold 2.0)"
2026-week-16,Shane,fa-acquisition,Luis Campusano,Weakest active player (value 112.1),Drop and add free agent,Kevin Ginkel,pitcher,RP/P/PITCHER,,,,116.7,Luis Campusano,,112.1,6.7,"FA acquisition (pass 1, threshold 4.0)"
2026-week-16,Shane,fa-acquisition,Kyle Higashioka,Weakest active player (value 112.4),Drop and add free agent,Ben Brown,pitcher,RP/P/PITCHER,,,,117.7,Kyle Higashioka,,112.4,5.3,"FA acquisition (pass 2, threshold 4.0)"
