week,team,recommendation_type,trigger_player_name,trigger_reason,recommendation,player_name,player_type,eligible_positions,current_level,projected_role_if_promoted,projected_slot_if_promoted,candidate_projection_value,drop_candidate_name,drop_candidate_role,drop_candidate_value,improvement,rationale
2026-week-12,Chris,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-12,Rob,minor-promotion,,,Move to MLB roster as starter,Elmer Rodriguez,pitcher,SP/P/PITCHER,AAA,Starter,P9,16.7,Heriberto Hernandez,Bench,131.7,-115.0,Would crack the active lineup at P9 under the current optimizer.
2026-week-12,Wendell,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-12,Matt,minor-promotion,,,Move to MLB roster as starter,Logan Henderson,pitcher,SP/P/PITCHER,MLB,Starter,P9,107.0,Edouard Julien,Bench,150.4,-43.4,Would crack the active lineup at P9 under the current optimizer.
2026-week-12,Matt,minor-promotion,,,Move to MLB roster as starter,Jared Jones,pitcher,SP/1B/INFIELDER,MLB,Starter,P9,89.9,Edouard Julien,Bench,150.4,-60.5,Would crack the active lineup at P9 under the current optimizer.
2026-week-12,Matt,minor-promotion,,,Move to MLB roster as starter,JR Ritchie,pitcher,SP/P/PITCHER,AAA,Starter,P9,16.8,Edouard Julien,Bench,150.4,-133.6,Would crack the active lineup at P9 under the current optimizer.
2026-week-12,Michael,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-12,Paul,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-12,Josh M,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-12,Shane,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-12,Greg,minor-promotion,,,Move to MLB roster as starter,Jacob Melton,hitter,OF/LF/OUTFIELDER,AAA,Starter,OF,54.5,Sean Murphy,Bench,125.3,-70.8,Would crack the active lineup at OF under the current optimizer.
2026-week-12,Greg,minor-promotion,,,Move to MLB roster as starter,Ryan Ward,hitter,OF/LF/OUTFIELDER,MLB,Starter,OF,19.6,Sean Murphy,Bench,125.3,-105.7,Would crack the active lineup at OF under the current optimizer.
2026-week-12,Greg,minor-promotion,,,Move to MLB roster as starter,Rhylan Thomas,hitter,OF/LF/OUTFIELDER,AAA,Starter,OF,18.3,Sean Murphy,Bench,125.3,-107.0,Would crack the active lineup at OF under the current optimizer.
2026-week-12,Josh V,minor-promotion,,,Move to MLB roster as starter,Max Clark,hitter,OF/OUTFIELDER,AA,Starter,OF,13.6,Mike Burrows,Bench,137.0,-123.4,Would crack the active lineup at OF under the current optimizer.
